route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
05,T24_RO-2-31,34488,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34489,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3449,Georges Braque GRAND QUEVILLY,0,,,
05,T24_RO-2-31,34490,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34491,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34492,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34493,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34494,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34495,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34496,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34497,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34498,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34499,Théâtre des Arts ROUEN,1,,,
92,T24_BL-2-31,345,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
90,TXM_J2-2-31,3450,Georges Braque GRAND QUEVILLY,0,,,
05,T24_RO-2-31,34500,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34501,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34502,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34503,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34504,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34505,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34506,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34507,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34508,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34509,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3451,Georges Braque GRAND QUEVILLY,0,,,
05,T24_RO-2-31,34510,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34511,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34512,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34513,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34514,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34515,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34516,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34517,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34518,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34519,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3452,Georges Braque GRAND QUEVILLY,0,,,
05,T24_RO-2-31,34520,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34521,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34522,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34523,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34524,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34525,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34526,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34527,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34528,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34529,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3453,Georges Braque GRAND QUEVILLY,0,,,
05,T24_RO-2-31,34530,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34531,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34532,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34533,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34534,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34535,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34536,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34537,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34538,Théâtre des Arts ROUEN,1,,,
05,T24_RO-2-31,34539,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3454,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34540,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34541,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34542,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34543,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34544,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34545,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34546,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34547,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34548,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34549,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3455,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34550,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34551,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34552,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34553,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34554,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34555,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34556,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34557,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34558,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34559,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3456,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34560,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34561,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34562,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34563,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34564,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34565,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34566,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34567,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34568,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34569,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3457,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34570,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34571,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34572,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34573,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34574,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34575,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34576,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34577,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34578,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34579,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3458,Georges Braque GRAND QUEVILLY,0,,,
05,T24_BL-2-31,34580,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34581,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34582,Théâtre des Arts ROUEN,1,,,
05,T24_BL-2-31,34583,Théâtre des Arts ROUEN,1,,,
