service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
I30_VE-2-127,1,1,1,1,1,1,1,20240811,20240825
IN26_J-2-63,1,1,1,1,1,1,0,20240629,20250823
IN26_R-2-31,1,1,1,1,1,0,0,20240625,20250704
IN30_B-2-31,1,1,1,1,1,0,0,20241021,20250221
IN30_J-2-63,1,1,1,1,1,1,0,20240629,20250823
IN30_M-2-32,0,0,0,0,0,1,0,20240907,20250405
IN30_O-2-31,1,1,1,1,1,0,0,20240625,20250704
IN30_R-2-31,1,1,1,1,1,0,0,20240902,20250620
IN30_V-2-127,1,1,1,1,1,1,1,20240630,20250824
INT_BL-2-31,1,1,1,1,1,0,0,20241021,20250530
INT_J5-2-31,1,1,1,1,1,0,0,20240708,20240830
INT_M6-2-32,0,0,0,0,0,1,0,20240713,20240831
INT_MV-2-32,0,0,0,0,0,1,0,20240907,20250621
INT_V6-2-127,1,1,1,1,1,1,1,20240707,20240901
INT_VE-2-127,1,1,1,1,1,1,1,20240908,20250622
IST_B7-2-31,1,1,1,1,1,0,0,20240624,20240830
IST_BL-2-31,1,1,1,1,1,0,0,20241021,20250530
IST_J5-2-31,1,1,1,1,1,0,0,20240708,20240823
IST_JA-2-31,1,1,1,1,1,0,0,20241226,20241231
IST_M1-2-32,0,0,0,0,0,1,0,20240907,20250621
IST_M2-2-32,0,0,0,0,0,1,0,20241026,20250419
IST_M5-2-32,0,0,0,0,0,1,0,20240629,20240831
IST_R1-2-11,1,1,0,1,0,0,0,20240902,20250620
IST_R1-2-27,1,1,0,1,1,0,0,20240902,20250620
IST_R2-2-4,0,0,1,0,0,0,0,20240902,20250620
IST_V5-2-127,1,1,1,1,1,1,1,20240630,20240901
IST_VE-2-127,1,1,1,1,1,1,1,20240908,20250622
MEM_HT-2-32,0,0,0,0,0,1,0,20240629,20240831
MEV_HT-2-127,1,1,1,1,1,1,1,20240630,20240901
NAV_0-2-127$NAV_2-2-127,1,1,1,1,1,1,1,20230826,20250622
NAV_1-2-127,1,1,1,1,1,1,1,20240805,20250620
NAV_1-2-127$NAV_2-2-127,1,1,1,1,1,1,1,20230826,20250622
NAV_1-2-31,1,1,1,1,1,0,0,20240805,20250620
NAV_2-2-127,1,1,1,1,1,1,1,20230826,20250622
T1_BL-2-31,1,1,1,1,1,0,0,20241028,20250530
T1_R1-2-31,1,1,1,1,1,0,0,20240902,20250507
T1_R2-2-31,1,1,1,1,1,0,0,20241001,20250321
T11_B1-2-31,1,1,1,1,1,0,0,20240826,20240830
T11_J1-2-31,1,1,1,1,1,0,0,20240708,20240823
T11_M1-2-32,0,0,0,0,0,1,0,20240817,20240831
T11_V1-2-127,1,1,1,1,1,1,1,20240815,20240901
T24_BL-2-31,1,1,1,1,1,0,0,20241021,20250530
T24_JA-2-31,1,1,1,1,1,0,0,20241226,20241231
T24_MV-2-32,0,0,0,0,0,1,0,20240907,20250621
T24_RO-2-31,1,1,1,1,1,0,0,20240902,20250620
T24_VE-2-127,1,1,1,1,1,1,1,20240908,20250622
TVX_BL-2-24,0,0,0,1,1,0,0,20240826,20240830
TVX_BL-2-31,1,1,1,1,1,0,0,20240826,20240830
TVX_MV-2-32,0,0,0,0,0,1,0,20240713,20240831
TVX_VE-2-127,1,1,1,1,1,1,1,20240714,20240901
TX1_MV-2-32,0,0,0,0,0,1,0,20240907,20240921
TX1_RO-2-24,0,0,0,1,1,0,0,20240902,20240920
TX1_RO-2-31,1,1,1,1,1,0,0,20240902,20240920
TX1_VE-2-127,1,1,1,1,1,1,1,20240908,20240922
TX2_MV-2-32,0,0,0,0,0,1,0,20240928,20241130
TX2_RO-2-24,0,0,0,1,1,0,0,20240923,20241206
TX2_RO-2-31,1,1,1,1,1,0,0,20240923,20241206
TX2_VE-2-127,1,1,1,1,1,1,1,20240929,20241201
TX3_MV-2-32,0,0,0,0,0,1,0,20241207,20250125
TX3_RO-2-24,0,0,0,1,1,0,0,20241209,20250124
TX3_RO-2-31,1,1,1,1,1,0,0,20241209,20250124
TX3_VE-2-127,1,1,1,1,1,1,1,20241208,20250126
TXF9_J-2-56,0,0,0,1,1,1,0,20240708,20240831
